"SeriousDlqin2yrs";"RevolvingUtilizationOfUnsecuredLines";"Age";"NumberOfTime30.59DaysPastDueNotWorse";"DebtRatio.";"MonthlyIncome";"NumberOfOpenCreditLinesAndLoans";"NumberOfTimes90DaysLate";"NumberRealEstateLoansOrLines";"NumberOfTimes60.89DaysPastDueNotWorse";"NumberOfDependents"
"71149";0;0.073165312;59;0;0.251400346;19637;6;0;1;0;0
"46826";1;0.373295238;33;3;0.762111894;6666;12;0;4;0;0
"14687";0;0.0600287;38;0;0.775215297;6850;10;0;2;0;1
"102735";1;0.12194251;29;2;0.488001846;4333;6;0;2;0;0
"53367";0;0.101052785;52;0;0.185212845;2677;15;0;0;0;0
"108209";0;0.246590092;59;0;0.093886771;28331;14;0;1;0;3
"9356";1;0.348184037;49;1;0.481461507;7416;13;1;1;0;1
"111058";0;0.985432734;50;1;0.068620919;1500;1;0;0;0;0
"147309";0;0.9999999;37;0;0.38161899;11500;4;1;2;0;2
"139498";0;0.629599452;48;1;0.959800848;5422;9;0;2;0;0
"44274";0;0.01456004;74;0;0.132637192;4500;7;0;1;0;0
"7704";0;0.103955339;59;0;0.241543734;6710;17;0;2;0;1
"132324";0;0.04466396;39;0;0.379898694;3750;7;0;1;0;1
"73730";0;0.568610025;35;2;0.392121431;2766;6;0;0;0;2
"35365";0;0.015260502;58;0;0.314374583;4500;8;0;2;0;0
"7955";0;0.190934197;43;0;0.161144053;8600;15;0;1;1;0
"21695";0;0;67;0;0.036498696;28000;17;0;0;0;0
"52879";1;1.624584718;39;0;0.420582986;1680;3;1;0;2;2
"25999";0;0.112906409;66;0;0.230462616;8278;12;0;1;0;0
"79133";0;0.9999999;48;1;0.050987253;4000;2;0;0;0;0
"118478";0;1.045954524;39;2;360.5;1;2;0;0;0;0
"61607";0;0.800218142;48;2;0.209237344;6083;6;1;1;1;2
"102679";0;0.365908157;41;0;0.638497653;5963;19;0;1;0;2
"84279";0;0.414178324;67;0;0.32345422;44200;16;0;0;0;3
"97984";0;0.043900298;43;0;0.118966617;9405;3;0;1;0;3
"53352";0;0.756949933;60;0;0.4223533;9832;12;0;2;0;1
"126847";0;0.9999999;52;0;0.734928809;3300;4;0;2;0;0
"44872";0;0.766344757;32;1;0.593035909;2756;9;0;1;0;0
"65017";1;0.957546484;50;1;0.791512294;2968;13;2;1;1;0
"28847";0;0.454698325;60;0;0.468066492;8000;10;0;2;1;0
"135617";0;0.020935279;71;0;0.104548789;2725;4;0;1;0;1
"131291";0;0.135926347;70;0;0.241362764;6251;7;0;2;1;0
"76243";0;0.292625846;42;0;0.26958969;6750;10;0;2;0;0
"64927";0;0.17656484;80;0;0.121128588;6166;19;0;1;0;1
"81032";0;0.142731105;41;0;0.090541633;6184;6;0;0;0;2
"149387";0;0.081861849;55;0;0.238738739;2441;8;0;0;0;1
"19009";0;0.06083778;64;0;1.412782956;750;10;0;1;0;0
"118764";0;0.9999999;52;0;0.184066607;12250;4;0;1;0;3
"79171";0;0.523054702;55;0;0.4905019;5000;16;0;2;0;0
"59697";0;0.219605126;74;0;0.077987002;6000;7;0;0;0;1
"19800";0;0.427649829;30;0;0.56592099;2100;4;0;1;0;1
"132346";0;0.210435414;72;0;0.956355283;3917;18;0;4;0;0
"31837";0;0.607402344;47;1;0.347612191;8333;9;0;2;0;2
"132701";0;0;56;1;0;1;8;0;0;1;0
"2617";0;0.019462905;67;0;0.303270725;6175;17;0;2;0;1
"123015";0;0.176623377;51;1;1.159520516;2168;9;0;2;0;0
"53743";0;0.060977798;40;0;0.219078092;10000;9;0;2;0;0
"58482";0;0.450982871;73;0;1.027410513;3100;15;0;1;0;1
"105658";0;0.028716188;84;0;0.343044539;6555;12;0;1;0;0
"35214";0;0.126541495;66;0;0.003561701;9545;1;0;0;0;0
"3049";0;0;72;0;0.056591975;9594;5;0;1;0;0
"145499";0;0.162014574;59;0;0.227179873;9300;11;0;2;0;0
"137378";0;0.007554711;55;0;0.251633826;20350;9;0;3;0;1
"36604";0;0.42973003;34;0;0.301908353;8750;6;0;0;0;2
"10287";0;0.094813059;72;0;0.232323232;9800;5;0;1;0;1
"72822";0;0.009263886;60;0;0.020080321;5975;10;0;0;0;0
"114594";0;0.497518576;46;0;0.679938407;9091;15;0;1;0;0
"89624";0;0;58;0;0;5160;3;0;0;0;0
"100081";0;0.9999999;79;0;0.088165788;5500;2;0;0;0;0
"144575";0;0.758129281;58;0;0.345488766;8500;7;0;2;0;0
"66182";1;0.94381364;41;1;0.239411016;5500;12;0;0;0;1
"98830";0;0.254203526;54;1;0.377349398;16599;27;0;3;0;4
"97759";0;0.065792396;52;0;0.38227983;5631;22;0;1;0;2
"19667";0;0.033907171;61;0;0.029544769;6633;7;0;0;0;2
"143298";0;0.00039996;55;0;0.197973604;7500;8;0;1;0;2
"145600";0;0.74635589;61;0;0.609007833;3063;10;0;2;0;0
"142609";0;0.9999999;49;1;0.449238579;4333;2;0;2;0;2
"110867";0;0.003582339;37;1;1.444936709;3159;12;0;2;0;2
"101014";0;0.017770135;42;0;0.401098901;4185;10;0;1;0;0
"108602";0;0.179164167;41;1;0.830141549;1200;4;0;2;0;0
"23627";0;0.01030976;32;0;0.34487683;2800;11;0;1;0;0
"28479";1;0.798134577;28;1;0.533506831;1536;3;0;0;1;0
"24220";0;0.132632473;64;0;0.238030917;13325;11;0;1;0;0
"53509";0;0.280652517;39;6;0.257963148;7000;18;1;1;0;0
"120621";0;0.009999;63;0;2274;0;12;0;2;0;0
"61043";0;0.830889368;65;2;0.704798726;4396;10;0;1;1;0
"119993";0;1.055888224;36;2;0.167013744;2400;2;0;0;0;0
"130051";0;0.413524239;48;0;0.194927632;22592;8;0;2;0;3
"47508";0;0.081316747;45;0;0.536811106;7130;8;0;2;0;0
"1956";1;1.022703603;44;2;0.200471991;8050;6;2;0;2;1
"54743";0;0.03088474;71;0;0.166116248;9083;13;0;1;0;0
"102027";0;0.876936689;62;1;0.36947352;6400;13;0;1;0;1
"41659";0;0.546627886;33;0;0.579583938;6200;7;0;2;0;0
"104949";0;0.175839229;65;0;0.323795459;10833;20;0;2;0;0
"21678";0;0.926245379;28;1;0.489377656;4000;6;0;1;0;1
"55479";0;0.072463768;51;0;0.293815169;7000;14;0;2;0;2
"119210";0;1.603993344;46;2;0.007949603;6666;2;3;0;0;3
"110530";0;0.986771266;41;0;0.078143594;2520;1;0;0;0;2
"18622";0;0.021377714;75;0;0.646507267;2132;11;0;2;0;0
"69611";0;0.128796975;79;0;0.028529529;7500;8;0;0;0;2
"50483";0;0.011655902;78;0;0.018063028;2601;8;0;0;0;0
"18332";0;0;75;1;0.143405013;7300;5;0;1;0;0
"66070";0;0.061004154;49;0;0.34968612;8601;21;0;3;0;2
"104578";0;0.009997728;31;0;0.025641026;14000;5;0;0;0;0
"130532";0;0.066789741;56;0;0.037913507;12000;4;0;1;0;1
"13985";0;0.031186503;37;0;0.318206611;9166;11;0;1;0;3
"34235";0;0.151656728;62;0;0.425208154;3482;7;0;1;0;0
"125479";0;0.004114719;71;0;0.079347304;6250;25;0;1;0;0
"133730";0;0.9999999;34;1;0.553073657;5416;5;0;1;0;3
"99578";0;0.333077842;57;0;0.137245274;4072;2;0;0;0;1
"149146";0;0.00339966;73;0;0.000356888;2801;2;0;0;0;1
"119818";0;0;84;0;0.002427839;7413;7;0;0;0;0
"67095";0;0.108544573;65;0;0.5155992;11506;9;0;4;0;0
"52440";0;0.9999999;27;0;0.505224898;2200;4;0;0;0;0
"140039";0;0.41783897;47;0;1.079673626;8333;8;0;3;0;0
"25767";0;0;72;0;0;3471;4;0;0;0;0
"113169";0;0.136426023;44;0;0.768201439;6949;15;0;3;0;3
"104062";0;0.02685343;38;0;0.277287762;9069;8;0;2;0;2
"148508";0;0.381160592;58;0;0.733180587;4800;10;0;1;0;1
"70633";0;0.238038096;79;0;0.335702418;10833;12;0;1;0;0
"87931";0;0.603048715;54;0;0.315072781;19166;7;0;2;0;2
"74238";0;0.038539748;66;0;0.186767746;1450;10;0;1;0;0
"81717";0;0.017636813;69;0;0.018691589;3958;11;0;0;0;0
"60524";0;0.003967083;63;0;0.10639468;20000;5;0;1;0;0
"116863";1;0.931030296;37;2;0.199019207;7340;8;2;0;6;3
"104850";0;0.512911005;38;1;0.194280908;3566;3;0;0;0;0
"89217";0;0.335329341;22;0;5;0;1;0;0;0;0
"129776";0;0.966335578;66;0;0.340689951;14000;11;0;2;0;0
"127656";0;0.02472151;49;0;0.378926328;7003;11;0;1;0;4
"56603";1;0.9999999;42;98;0;7000;0;98;0;98;0
"99884";0;0.382202225;32;0;0.436791824;4500;11;0;1;0;1
"59822";0;0.312600151;66;0;0.609444701;6500;18;0;4;0;0
"67103";0;0;29;0;0.573907009;1440;8;0;0;0;0
"127148";0;0.9999999;34;1;0.091191174;5800;4;0;0;0;4
"17751";0;0.00568073;88;0;0.002499219;3200;8;0;0;0;0
"75942";0;0.106251539;63;0;0.283571643;10000;9;0;2;0;0
"96207";0;0;31;0;0.592733418;2366;11;0;1;0;0
